Station,NORTHING,EASTING,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.531952,0.003723371,3,E15 3NB
Abbey Wood,547297,179002,51.4907843,0.120271971,4,SE2 9RH
Acton Central,520613,180299,51.50875735,-0.263430195,2,W3 6BH
Acton Main Line,520296,181196,51.5168865,-0.267689948,3,W3 9EH
Acton Town,519457,179639,51.50307099,-0.280302697,3,W3 8HN
Addington Village,537082,163744,51.35623854,-0.0326651,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.37980817,-0.073213283,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.43581582,0.126444639,5,DA5 3HP
Aldgate,533629,181246,51.51434226,-0.075626912,1,EC3N 1AH
Aldgate East,533809,181333,51.51508151,-0.073001462,1,E1 7PT
Alexandra Palace,530300,190498,51.59826263,-0.120148971,3,N22 7ST
All Saints,538012,180933,51.51047691,-0.012624885,2,E14 0EH
Alperton,518025,183849,51.54120879,-0.299515753,4,HA0 4LL
Amersham,496454,198181,51.67412833,-0.606513768,9,HP6 5AZ
Ampere Way,530674,166476,51.38229922,-0.123636798,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.41251661,-0.0651371,4,SE20 8PY
Angel,531497,183263,51.53296785,-0.105581448,1,N1 8XB
Angel Road,535204,192202,51.61242024,-0.048732919,4,N18 3AY
Archway,529356,186827,51.56549032,-0.135121576,"2,3",N19 5RQ
Arena,535192,167620,51.39152266,-0.05831855,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.61622992,-0.134270218,4,N11 1AN
Arsenal,531429,186107,51.55854121,-0.105499933,2,N5 1LP
Avenue Road,535764,169335,51.4067979,-0.049446937,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.52312937,-0.156904193,1,NW1 5LA
Balham,528482,173195,51.44318231,-0.152685162,3,SW12 9SG
Bank,532704,181111,51.51334692,-0.089000123,1,EC3V 3LA
Banstead,524590,160426,51.32929278,-0.213132334,6,SM7 1RB
Barbican,532079,181859,51.52021513,-0.097721578,1,EC1A 4JA
Barking,544405,184343,51.53952125,0.08083161,4,IG11 8TU
Barking Riverside,546824,182141,51.51911216,0.114769483,4,IG11 0BF
Barkingside,544788,189510,51.58585076,0.08847664,4,IG6 1NB
Barnehurst,550206,176193,51.46478055,0.160948024,6,DA7 6HQ
Barnes,522209,175705,51.46712738,-0.242033059,3,SW13 0LW
Barnes Bridge,521478,176255,51.47222764,-0.252362613,3,SW13 0NR
Barons Court,524133,178322,51.49022833,-0.213430142,2,W14 9DP
Battersea Park,528703,176999,51.47731808,-0.14812376,2,SW8 4NB
Battersea Power Station,529122,177252,51.47949634,-0.142001351,1,SW11 8AL
Bayswater,525845,180799,51.51211098,-0.187901572,1,W2 4QH
Beckenham Hill,538002,171379,51.42462603,-0.016495762,4,SE6 3NU
